DUR,201412
0,0.384695331
1,0.384695331
2,0.408181475
3,0.431706662
4,0.455290414
5,0.478952254
6,0.502711704
7,0.526586786
8,0.550580543
9,0.574676539
10,0.598847551
11,0.623060474
12,0.647278768
13,0.671463782
14,0.695575508
15,0.719573032
16,0.743414817
17,0.767058889
18,0.790462954
19,0.813584957
20,0.83638796
21,0.858843621
22,0.880930649
23,0.902633274
24,0.923940093
25,0.944843198
26,0.965337507
27,0.985420234
28,1.005090486
29,1.024348932
30,1.043197544
31,1.061639387
32,1.07967845
33,1.097319502
34,1.11456798
35,1.131429893
36,1.147911745
37,1.164020461
38,1.179763341
39,1.195148005
40,1.210182355
41,1.224874542
42,1.239232935
43,1.253266094
44,1.266982754
45,1.280391798
46,1.293502246
47,1.30632324
48,1.318864029
49,1.33113396
50,1.343142468
51,1.354899067
52,1.366413341
53,1.377694941
54,1.388753574
55,1.399598974
56,1.410240561
57,1.420687153
58,1.430946984
59,1.441027755
60,1.450936678
61,1.460680518
62,1.470265626
63,1.479697973
64,1.488983181
65,1.498126548
66,1.507133074
67,1.516007483
68,1.524754242
69,1.533377581
70,1.541881508
71,1.55026983
72,1.558546159
73,1.56671393
74,1.574776416
75,1.58273673
76,1.590597844
77,1.598362594
78,1.60603369
79,1.613613723
80,1.621105174
81,1.628510417
82,1.635831731
83,1.643071303
84,1.650231233
85,1.657313538
86,1.664320161
87,1.671252971
88,1.678113769
89,1.684904293
90,1.691626219
91,1.698281165
92,1.704870681
93,1.711396238
94,1.717859234
95,1.724260997
96,1.730602788
97,1.736885802
98,1.743111178
99,1.749279995
100,1.75539328
101,1.761452005
102,1.767457096
103,1.773409431
104,1.779309845
105,1.78515913
106,1.790958036
107,1.796707277
108,1.802407529
109,1.808059433
110,1.813663599
111,1.819220601
112,1.824730986
113,1.83019527
114,1.835613942
115,1.840987465
116,1.846316275
117,1.851600785
118,1.856841384
119,1.862038438
120,1.867192293
121,1.872303274
122,1.877371685
123,1.882397813
124,1.887381926
125,1.892324274
126,1.897225092
127,1.902084596
128,1.906902991
129,1.911680462
130,1.916417184
131,1.921113316
132,1.925769004
133,1.930384383
134,1.934959581
135,1.93949473
136,1.943989962
137,1.948445412
138,1.952861216
139,1.957237513
140,1.961574443
141,1.965872149
142,1.970130773
143,1.97435046
144,1.978531359
145,1.982673616
146,1.986777381
147,1.990842806
148,1.994870043
149,1.998859246
150,2.002810569
151,2.006724169
152,2.010600202
153,2.014438829
154,2.018240207
155,2.022004498
156,2.025731863
157,2.029422465
158,2.033076468
159,2.036694035
160,2.040275333
161,2.043820528
162,2.047329786
163,2.050803277
164,2.054241168
165,2.05764363
166,2.061010832
167,2.064342945
168,2.067640142
169,2.070902594
170,2.074130475
171,2.077323959
172,2.080483219
173,2.083608432
174,2.086699771
175,2.089757414
176,2.092781538
177,2.095772318
178,2.098729934
179,2.101654563
180,2.104546384
181,2.107405577
182,2.110232321
183,2.113026796
184,2.115789183
185,2.118519663
186,2.121218417
187,2.123885628
188,2.126521477
189,2.129126148
190,2.131699823
191,2.134242686
192,2.13675492
193,2.139236709
194,2.141688239
195,2.144109694
196,2.146501259
197,2.14886312
198,2.151195461
199,2.15349847
200,2.155772333
201,2.158017235
202,2.160233365
203,2.16242091
204,2.164580056
205,2.166710991
206,2.168813904
207,2.170888983
208,2.172936416
209,2.174956391
210,2.176949098
211,2.178914726
212,2.180853464
213,2.182765501
214,2.184651028
215,2.186510234
216,2.18834331
217,2.190150445
218,2.191931831
219,2.193687658
220,2.195418117
221,2.1971234
222,2.198803696
223,2.200459199
224,2.202090098
225,2.203696587
226,2.205278857
227,2.206837101
228,2.208371509
229,2.209882275
230,2.211369592
231,2.212833651
232,2.214274646
233,2.215692769
234,2.217088214
235,2.218461174
236,2.219811842
237,2.221140411
238,2.222447076
239,2.223732029
240,2.224995465
241,2.226237577
242,2.22745856
243,2.228658607
244,2.229837914
245,2.230996673
246,2.23213508
247,2.233253329
248,2.234351615
249,2.235430133
250,2.236489077
251,2.237528642
252,2.238549023
253,2.239550416
254,2.240533016
255,2.241497017
256,2.242442616
257,2.243370007
258,2.244279386
259,2.24517095
260,2.246044893
261,2.246901411
262,2.2477407
263,2.248562956
264,2.249368375
265,2.250157154
266,2.250929487
267,2.251685572
268,2.252425604
269,2.25314978
270,2.253858297
271,2.25455135
272,2.255229135
273,2.255891844
274,2.256539667
275,2.257172792
276,2.257791403
277,2.258395683
278,2.258985812
279,2.259561967
280,2.260124325
281,2.260673058
282,2.261208337
283,2.26173033
284,2.262239205
285,2.262735125
286,2.263218253
287,2.263688749
288,2.264146772
289,2.264592478
290,2.26502602
291,2.265447552
292,2.265857225
293,2.266255185
294,2.266641582
295,2.267016559
296,2.267380261
297,2.267732828
298,2.268074402
299,2.268405119
300,2.268725117
301,2.269034531
302,2.269333494
303,2.269622138
304,2.269900593
305,2.270168989
306,2.270427453
307,2.27067611
308,2.270915086
309,2.271144502
310,2.271364482
311,2.271575145
312,2.27177661
313,2.271968995
314,2.272152416
315,2.272326989
316,2.272492827
317,2.272650042
318,2.272798747
319,2.272939051
320,2.273071063
321,2.273194891
322,2.273310642
323,2.273418421
324,2.273518333
325,2.273610481
326,2.273694967
327,2.273771892
328,2.273841357
329,2.273903461
330,2.273958301
331,2.274005975
332,2.274046579
333,2.274080209
334,2.274106958
335,2.274126919
336,2.274140185
337,2.274146848
338,2.274146998
339,2.274140724
340,2.274128115
341,2.27410926
342,2.274084245
343,2.274053156
344,2.274016079
345,2.273973099
346,2.273924299
347,2.273869762
348,2.273809571
